头实体,关系,尾实体,数据来源
新城疫,引起,呼吸困难,《常见鸡病彩色图谱》
新城疫,引起,绿色稀粪,《禽病诊治彩色图谱》
新城疫,引起,神经扭颈,《禽病诊治彩色图谱》
新城疫,导致,腺胃乳头出血,《禽病类症鉴别诊疗彩色图谱》
新城疫,预防方案,新城疫N79克隆株活疫苗,《鸡场免疫程序手册》
新城疫,治疗方案,杆立克+独败,《禽病类症鉴别诊疗彩色图谱》
禽流感H5N1,症状,头颈水肿,《2025年禽病报告》
禽流感H5N1,症状,鸡冠发绀,《2025年禽病报告》
禽流感H5N1,需鉴别,新城疫,家禽传染病思维导图
禽流感H5N1,预防方案,H5亚型灭活疫苗,《禽流感防控技术规范》
禽流感H9N2,高发阶段,产蛋期,《2025年禽病报告》
禽流感H9N2,导致,产蛋率下降30%,《禽病学》
传染性法氏囊病,病理变化,法氏囊肿大出血,《禽病彩色图谱》
传染性法氏囊病,病理变化,肌肉刷状出血,《禽病彩色图谱》
传染性法氏囊病,禁忌药物,磺胺类药物,《家禽常见病防治》
传染性法氏囊病,高发阶段,3-6周龄,《禽病学》
传染性法氏囊病,预防方案,传染性法氏囊炎二价弱毒疫苗,《免疫程序指南》
鸡包涵体肝炎,病原类型,禽腺病毒E-8a型,《家禽科学》2025
鸡包涵体肝炎,病原类型,禽腺病毒C-10型,《家禽科学》2025
鸡包涵体肝炎,治疗方案,黄芪多糖口服液(0.5mL/L水),《家禽科学》2025
鸡包涵体肝炎,诊断方法,肝脏黄染坏死灶,《禽病诊治彩色图谱》
滑液囊支原体,诊断方法,血清平板凝集试验,家禽传染病思维导图
滑液囊支泌体,症状,关节肿胀,《2025年禽病报告》
滑液囊支原体,高发阶段,4-8周龄,《2025年禽病报告》
滑液囊支原体,预防方案,活苗+灭活苗联合免疫,《2025年禽病报告》
传染性支气管炎,分型,生殖型,鸡传染性支气管炎防控指南
传染性支气管炎,分型,肾型,鸡传染性支气管炎防控指南
传染性支气管炎,导致,输卵管萎缩,《禽病诊治彩色图谱》
传染性支气管炎,导致,花斑肾,《禽病诊治彩色图谱》
传染性支气管炎,预防方案,H120疫苗(雏鸡滴鼻),鸡传染性支气管炎防控指南
传染性喉气管炎,诊断依据,喉头出血性栓塞,《常见鸡病彩色图谱》
传染性喉气管炎,治疗方案,林可霉素+地塞米松喷雾,《家禽科学》2025
传染性喉气管炎,治疗方案,呼独康+万呼宁,《禽病类症鉴别诊疗彩色图谱》
大肠杆菌病,继发于,传支感染,智慧蛋鸡行业报告
大肠杆菌病,继发于,通风不良,《2025年禽病报告》
大肠杆菌病,病理变化,心包炎,《禽病彩色图谱》
